DATETIMEDATA,prediction_label
2024-03-02,0.158054579287659
2024-03-03,0.15861169925102897
2024-03-04,0.15784116121252562
2024-03-05,0.15787634396137434
2024-03-06,0.1583198006770949
2024-03-07,0.15945668350298983
2024-03-08,0.15660195036402547
2024-03-09,0.1546817453432134
2024-03-10,0.1510501042120968
2024-03-11,0.15437550288735938
2024-03-12,0.15498855928536198
2024-03-13,0.15566048918372982
2024-03-14,0.1558669663204077
2024-03-15,0.15579666944824913
2024-03-16,0.15585149400965265
2024-03-17,0.1561119106763193
2024-03-18,0.11922059481572793
2024-03-19,0.11937384017898674
2024-03-20,0.11910027867105022
2024-03-21,0.11904385505993913
2024-03-22,0.13103175221933958
2024-03-23,0.18850961328892485
2024-03-24,0.22099192404945164
2024-03-25,0.22125582453095674
2024-03-26,0.22138686223437248
2024-03-27,0.22118556468106854
2024-03-28,0.22118556468106854
2024-03-29,0.2207177267211325
2024-03-30,0.22003717116557686
2024-03-31,0.2121553175374531
2024-04-01,0.15969527787567525
