DATETIMEDATA,prediction_label
2024-03-02,23.37561289993395
2024-03-03,22.811640947382486
2024-03-04,23.019188873235088
2024-03-05,23.265905226778308
2024-03-06,23.05890498519408
2024-03-07,23.37478263519148
2024-03-08,23.699368018194246
2024-03-09,23.657663264413884
2024-03-10,22.88561980079411
2024-03-11,22.569072678334884
2024-03-12,22.63149546229569
2024-03-13,22.53619452265099
2024-03-14,22.410217980563417
2024-03-15,21.996199508786784
2024-03-16,21.623766156648315
2024-03-17,21.501186984739242
2024-03-18,21.437859141965927
2024-03-19,22.256311058309993
2024-03-20,24.075011398357205
2024-03-21,25.732693854877418
2024-03-22,23.82245051255752
2024-03-23,21.61725792779074
2024-03-24,21.456583216196613
2024-03-25,21.34777584142914
2024-03-26,21.405222658630976
2024-03-27,21.428135131506508
2024-03-28,21.773217201078324
2024-03-29,21.823733639705566
2024-03-30,21.661790855480945
2024-03-31,21.627390859200283
2024-04-01,22.968822481845514
