DATETIMEDATA,prediction_label
2024-03-02,17.530699996471405
2024-03-03,17.640099996089937
2024-03-04,18.01839999628067
2024-03-05,18.03289999628067
2024-03-06,18.1399999961853
2024-03-07,18.229199996471408
2024-03-08,18.232199996471408
2024-03-09,18.4837999958992
2024-03-10,18.484599995613095
2024-03-11,20.481499980926515
2024-03-12,18.404499963760376
2024-03-13,18.35269995450974
2024-03-14,16.663099946498875
2024-03-15,15.873599940776828
2024-03-16,15.260999929904937
2024-03-17,14.071699908733368
2024-03-18,13.363999885559082
2024-03-19,13.15019988155365
2024-03-20,13.129499880790709
2024-03-21,13.180499881744385
2024-03-22,13.143299886703488
2024-03-23,11.76939989423752
2024-03-24,11.98929988718033
2024-03-25,12.25529988002777
2024-03-26,12.972699892520904
2024-03-27,13.092599909305571
2024-03-28,14.93689994907379
2024-03-29,15.678799953937531
2024-03-30,14.082199958801269
2024-03-31,13.750199959278106
2024-04-01,17.703799996376034
